symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2001-01-02 00:00:00+00:00,14.88,15.25,14.56,14.88,8077000,0.2258134822,0.231428468,0.2209572783,0.2258134822,452312452,0.0,1.0
AAPL,2001-01-03 00:00:00+00:00,16.37,16.69,14.44,14.5,14590600,0.2484251817,0.2532813856,0.2191362018,0.22004674,817074417,0.0,1.0
AAPL,2001-01-04 00:00:00+00:00,17.06,18.5,16.81,18.14,13203500,0.2588963714,0.280749289,0.255102462,0.2752860596,739396739,0.0,1.0
AAPL,2001-01-05 00:00:00+00:00,16.37,17.37,16.06,16.94,7363500,0.2484251817,0.2636008189,0.2437207341,0.2570752949,412356412,0.0,1.0
AAPL,2001-01-08 00:00:00+00:00,16.56,16.98,15.94,16.94,6673200,0.2513085527,0.2576823204,0.2418996576,0.2570752949,373699573,0.0,1.0
AAPL,2001-01-09 00:00:00+00:00,17.19,17.64,16.56,16.81,10516600,0.2608692042,0.267698241,0.2513085527,0.255102462,588930188,0.0,1.0
AAPL,2001-01-10 00:00:00+00:00,16.56,17.0,16.06,16.69,10371100,0.2513085527,0.2579858331,0.2437207341,0.2532813856,580782180,0.0,1.0
AAPL,2001-01-11 00:00:00+00:00,18.0,18.5,16.25,16.25,14352400,0.2731614704,0.280749289,0.2466041052,0.2466041052,803735203,0.0,1.0
AAPL,2001-01-12 00:00:00+00:00,17.19,18.0,17.06,17.87,7560300,0.2608692042,0.2731614704,0.2588963714,0.2711886375,423377223,0.0,1.0
AAPL,2001-01-16 00:00:00+00:00,17.12,18.25,17.0,17.44,5466400,0.2598069096,0.2769553797,0.2579858331,0.2646631135,306118706,0.0,1.0
AAPL,2001-01-17 00:00:00+00:00,16.81,17.56,16.5,17.56,15015600,0.255102462,0.26648419,0.2503980145,0.26648419,840874440,0.0,1.0
AAPL,2001-01-18 00:00:00+00:00,18.69,18.75,17.62,17.81,21910900,0.2836326601,0.2845431983,0.2673947282,0.2702780993,1227011627,0.0,1.0
